Component,Department,Name,Title,Email,Street Address 1,Street Address 2,City,State,Zip code,Telephone,Fax
Administrative Conference of the United States,Administrative Conference of the United States,Nathan Tomasso,Requester Service Center Representative,ntomasso@acus.gov,"Shawne McGibbon, Chief FOIA Officer","1120 20th Street, NW, Suite 706 South",Washington,DC,20036,202-480-2080,
Administrative Conference of the United States,Administrative Conference of the United States,Nathan Tomasso,FOIA Requester Service Representative,ntomasso@acus.gov,"Shawne McGibbon, Chief FOIA Officer","1120 20th Street, NW, Suite 706 South",Washington,DC,20036,202-480-2080,
Administrative Conference of the United States,Administrative Conference of the United States,Shawne McGibbon,General Counsel & Chief FOIA Officer,smcgibbon@acus.gov,"Shawne McGibbon, Chief FOIA Officer","1120 20th Street, NW, Suite 706 South",Washington,DC,20036,202-480-2080,
Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,,,,Freedom of Information Act Officer Advisory Council on Historic Preservation ,"401 F Street, NW, Suite 308 ",Washington,DC,20001,(202) 517-0200,
American Battle Monuments Commission,American Battle Monuments Commission,Jennifer Li,Chief Information Officer,lij@abmc.gov,"2300 Clarendon Boulevard, Suite 500",Attn: FOIA,Arlington,VA,22201,703-584-1530,
American Battle Monuments Commission,American Battle Monuments Commission,Lisa Crunk,FOIA Assistant,,"2300 Clarendon Boulevard, Suite 500",Attn: FOIA,Arlington,VA,22201,703-584-1569,
Appraisal Subcommittee,Appraisal Subcommittee,,,,"1325 G Street NW, Suite 500",,Washington,DC,20005,202-289-2735,
Appraisal Subcommittee,Appraisal Subcommittee,Matt Ponzar,General Counsel,Matt@asc.gov,"1325 G Street NW, Suite 500",,Washington,DC,20005,202-595-7577,
Appraisal Subcommittee,Appraisal Subcommittee,Vacant,,,"1325 G Street NW, Suite 500",,Washington,DC,20005,202-289-2735,
Armed Forces Retirement Home,Armed Forces Retirement Home,Joseph Pollard,Chief Counsel,joseph.pollard@afrh.gov,3700 North Capitol Street NW,P.O. Box 2875,Washington,DC,20011,202-541-7557,202-541-7508
Armed Forces Retirement Home,Armed Forces Retirement Home,Karen Nowowieski,Public Affairs Officer,karen.nowowieski@afrh.gov,3700 North Capitol Street NW,P.O. Box 2875,Washington,DC,20011,202-541-7550,202-541-7508
Central Intelligence Agency,Central Intelligence Agency,,,,"Information and Privacy Coordinator, Central Intelligence Agency",,Washington,DC,20505,703-613-1287,703-613-3007
Central Intelligence Agency,Central Intelligence Agency,Michelle Murphy,,,"Information and Privacy Coordinator, Central Intelligence Agency",,Washington,DC,20505,703-613-1287,703-613-3007
U.S. Chemical Safety and Hazard Investigation Board (CSB),Chemical Safety and Hazard Investigation Board,Hillary Cohen,FOIA Public Liaison,,1750 Pennsylvania Avenue NW,Suite 910,Washington,DC,20006,202-446-8094,202-261-7650
U.S. Chemical Safety and Hazard Investigation Board (CSB),Chemical Safety and Hazard Investigation Board,Hillary Cohen,,,1750 Pennsylvania Avenue NW,Suite 910,Washington,DC,20006,,202-261-7650
U.S. Chemical Safety and Hazard Investigation Board (CSB),Chemical Safety and Hazard Investigation Board,Steven Messer,FOIA Officer,steven.messer@csb.gov,1750 Pennsylvania Avenue NW,Suite 910,Washington,DC,20006,202-261-7600,202-261-7650
Commission of Fine Arts,Commission of Fine Arts,,,,Chief FOIA Officer,"401 F St., NW, Suite 312",Washington,DC,20001,202-504-2200,202-504-2195
Commission of Fine Arts,Commission of Fine Arts,FOIA Contact,Liaison,foia@cfa.gov,Chief FOIA Officer,"401 F St., NW, Suite 312",Washington,DC,20001,202 504-2200,202-504-2195
Committee for Purchase from People Who Are Blind or Severely Disabled,Committee for Purchase from People Who Are Blind or Severely Disabled,Karen T. Guile,FOIA Administrator,kguile@abilityone.gov,"Kimberly Zeich, Executive Director",355 E Street SW Suite 325,Washington,DC,20024,"703-216-0755, 703-603-2152",
Committee for Purchase from People Who Are Blind or Severely Disabled,Committee for Purchase from People Who Are Blind or Severely Disabled,Marlin Paschal,Acting General Counsel,mpaschal@abilityone.gov,"Kimberly Zeich, Executive Director",355 E Street SW Suite 325,Washington,DC,20024,202 306-5872,
Commodity Futures Trading Commission,Commodity Futures Trading Commission,Jonathan Van Doren,Public Liaison,JVanDoren@CFTC.gov,"CFTC FOIA Office, Three Lafayette Centre","1155 21st Street, N.W.",Washington,DC,20581,202-418-5505,202-418-5524
Commodity Futures Trading Commission,Commodity Futures Trading Commission,Rosemary Killoy,Assistant General Counsel,,"CFTC FOIA Office, Three Lafayette Centre","1155 21st Street, N.W.",Washington,DC,20581,202-418-5912,202-418-5524
Bureau of Consumer Financial Protection,Consumer Financial Protection Bureau,,,,"CFPB, Attn: Chief FOIA Officer","1700 G Street, NW",Washington,DC,20552,,
Bureau of Consumer Financial Protection,Consumer Financial Protection Bureau,Danielle Duvall Adams,FOIA Manager,CFPB_FOIA@consumerfinance.gov,"CFPB, Attn: Chief FOIA Officer","1700 G Street, NW",Washington,DC,20552,855-444-3642,
Bureau of Consumer Financial Protection,Consumer Financial Protection Bureau,Ryan McDonald,FOIA Public Liaison,FOIA@cfpb.gov,"CFPB, Attn: Chief FOIA Officer","1700 G Street, NW",Washington,DC,20552,"855-444-3642, 202-435-9133",
Consumer Product Safety Commission,Consumer Product Safety Commission,Abioye Mosheim Oyewole,"Chief FOIA Officer, Assistant General Counsel",aoyewole@cpsc.gov,U.S. Consumer Product Safety Commission,"4330 East West Highway, Room 820",Bethesda,MD,20814-4408,800-638-2772,301-504-0127
Consumer Product Safety Commission,Consumer Product Safety Commission,Robert Dalton,Senior FOIA Attorney,rdalton@cpsc.gov,U.S. Consumer Product Safety Commission,"4330 East West Highway, Room 820",Bethesda,MD,20814-4408,,301-504-0127
Corporation for National and Community Service,Corporation for National and Community Service (operating as AmeriCorps),Andrea Grill,Chief FOIA Officer,AGrill@americorps.gov,"Stephanie A. Soper, Freedom of Information Act Officer, Office of the General Counsel, Room 2257","250 E Street, SW",Washington,DC,20525,,202-606-3467
